band name,country,genres,activity,album title,album year,album img,song title,song len,song lyric,album title sentiment,song title sentiment,song lyric sentiment,neutral sents,positive sents,negative sents,neutral words,positive words,negative words
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Late Night Tales,2015,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS1Ue7a4H--z9vpO05Ar16fWfd-GLKG7i9LRmLvsuO6FcXgToNXvCFf4Z0,In a Beautiful Place Out in the Country,2:44,"Come out, and live with a religious community in a beautiful place out in the country",-0.3,0.85,0.3287878787878788,,"come out, and live with a religious community in a beautiful place out in the country",,come###religious###community###place###country,live###beautiful,
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,LateNightTales,2015,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1Ue7a4H--z9vpO05Ar16fWfd-GLKG7i9LRmLvsuO6FcXgToNXvCFf4Z0,In a Beautiful Place Out in the Country,6:07,"Come out, and live with a religious community in a beautiful place out in the country",0.0,0.85,0.3287878787878788,,"come out, and live with a religious community in a beautiful place out in the country",,come###religious###community###place###country,live###beautiful,
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Tomorrow's Harvest,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfp9bnXZymfrUFns4_JZfI98BgHnEXfDoQQAhEKgQqDxI3hUObDjzN4rSr,Gemini,0,,0.0,0.0,0.0,,,,,,
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Tomorrow's Harvest,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfp9bnXZymfrUFns4_JZfI98BgHnEXfDoQQAhEKgQqDxI3hUObDjzN4rSr,Reach for the Dead,0,,0.0,-0.2,0.0,,,,,,
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Tomorrow's Harvest,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfp9bnXZymfrUFns4_JZfI98BgHnEXfDoQQAhEKgQqDxI3hUObDjzN4rSr,Telepath,0,"Testing
One, two, three, four, five
Six, seven, eight, nine, ten, oops
Up and down, I think

(On repeat, give me a count)
The stuff that they know
The one on the right and then turn it up while I'm counting
One, four, five, six, seven, eight
It's too loud

Well, this is quite pleasant
Let's play it back and see what it sounds like
(Could I get the one voice?)
(Nervous? Don't be nervous)
One, two, three, four, five, six, seven",0.0,0.0,0.1605820105820105,"testing###one, two, three, four, five###six, seven, eight, nine, ten, oops###(on repeat, give me a count)###the stuff that they know###one, four, five, six, seven, eight###let's play it back and see what it sounds like###(could i get the one voice?)###(nervous? don't be nervous)###one, two, three, four, five, six, seven","the one on the right and then turn it up while i'm counting###it's too loud###well, this is quite pleasant","up and down, i think",testing###one###two###three###four###five###six###seven###eight###nine###ten###oops###think###repeat###give###count###stuff###know###one###turn###counting###one###four###five###six###seven###eight###well###quite###let###play###back###see###sounds###like###could###get###one###voice###nervous###nervous###one###two###three###four###five###six###seven,right###loud###pleasant,
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Tomorrow's Harvest,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfp9bnXZymfrUFns4_JZfI98BgHnEXfDoQQAhEKgQqDxI3hUObDjzN4rSr,Transmisiones Ferox,0,"Nineteen-ninety-nine
Nineteen-ninety-nine",0.0,0.0,0.0,nineteen-ninety-nine###nineteen-ninety-nine,,,nineteen###ninety###nine###nineteen###ninety###nine,,
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Tomorrow's Harvest,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfp9bnXZymfrUFns4_JZfI98BgHnEXfDoQQAhEKgQqDxI3hUObDjzN4rSr,Split Your Infinities,0,"The FEMA plans to imprison American citizens have generated
A lot of interest around the country
In locating the potential prison camps throughout the country
These may be facilities currently being used as prisons
Such as those you saw earlier, or prisons that are being built
Supposedly in the name of the war on drugs
Or, facilities that have other uses
But could quickly be used to detain large numbers of people
Such as this Amtrak facility in Beech Grove, Indiana
We're standing now in the main parking lot
Which doesn't look too sinister
At this level it is a very large parking lot
Fenced on all sides by fence topped by barbed wire
It also has these electronically operated turnstiles
There is also a surveillance camera just like we saw at the FEMA facility
Pointing out to the parking lot, and a helicopter windsock
All of these apparent security measures are particularly unusual here
Because this is a very low-crime area
And this facility is nothing but
An old train repair station with nothing in it worth stealing",0.0,0.0,0.0716386554621848,"the fema plans to imprison american citizens have generated###a lot of interest around the country###in locating the potential prison camps throughout the country###these may be facilities currently being used as prisons###such as those you saw earlier, or prisons that are being built###supposedly in the name of the war on drugs###such as this amtrak facility in beech grove, indiana###fenced on all sides by fence topped by barbed wire###it also has these electronically operated turnstiles###there is also a surveillance camera just like we saw at the fema facility###pointing out to the parking lot, and a helicopter windsock###and this facility is nothing but",but could quickly be used to detain large numbers of people###we're standing now in the main parking lot###at this level it is a very large parking lot###all of these apparent security measures are particularly unusual here###because this is a very low-crime area###an old train repair station with nothing in it worth stealing,"or, facilities that have other uses###which doesn't look too sinister",fema###plans###imprison###american###citizens###generated###lot###interest###around###country###locating###potential###prison###camps###throughout###country###may###facilities###currently###used###prisons###saw###earlier###prisons###built###supposedly###name###war###drugs###facilities###uses###could###used###detain###numbers###people###amtrak###facility###beech###grove###indiana###standing###parking###lot###look###level###parking###lot###fenced###sides###fence###topped###barbed###wire###also###electronically###operated###turnstiles###also###surveillance###camera###like###saw###fema###facility###pointing###parking###lot###helicopter###windsock###security###measures###low###crime###area###facility###nothing###train###repair###station###nothing###stealing,quickly###large###main###large###apparent###particularly###unusual###old###worth,sinister
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Tomorrow's Harvest,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfp9bnXZymfrUFns4_JZfI98BgHnEXfDoQQAhEKgQqDxI3hUObDjzN4rSr,Nothing Is Real,0,"Jesus, was it you indeed
To flirt unkindly with my greed?
Promising eternal life
When you knew it was not right?
When you knew that what I'd need was willingness and comfort there?",0.0,0.2,0.0285714285714285,"jesus, was it you indeed###to flirt unkindly with my greed?###when you knew that what i'd need was willingness and comfort there?",promising eternal life,when you knew it was not right?,jesus###indeed###flirt###unkindly###greed###eternal###life###knew###knew###need###willingness###comfort,promising###right,
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Tomorrow's Harvest [LP],2013,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2jx_cjqUVIGrvssBbUpe-0P7qa9V-OAtLZtDYCcF0gd_ZxpjCCU4NdX31GA,Gemini,0,,0.0,0.0,0.0,,,,,,
Boards of Canada, Regno Unito,Intelligent dance music;Ambient techno;Musica d'ambiente;Downtempo,1986 – in attività,Tomorrow's Harvest [LP],2013,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2jx_cjqUVIGrvssBbUpe-0P7qa9V-OAtLZtDYCcF0gd_ZxpjCCU4NdX31GA,Reach for the Dead,0,,0.0,-0.2,0.0,,,,,,
