band name,country,genres,activity,album title,album year,album img,song title,song len,song lyric,album title sentiment,song title sentiment,song lyric sentiment
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,American Satan [Original Motion Picture Soundtrack],2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_0xv8iw4wWhwjqd6SM6oXHQkNIQY-XA2Ugm84KQb_XHMrhb8t9RaNgIKM&s,Personal Jesus,2:52,"Your own personal Jesus
Someone to hear your prayers
Someone who cares
Your own personal Jesus
Someone to hear your prayers
Someone who's there

Feeling unknown
And you're all alone
Flesh and bone
By the telephone
Lift up the receiver
I'll make you a believer

Take second best
Put me to the test
Things on your chest
You need to confess
I will deliver
You know I'm a forgiver

Reach out and touch faith
Reach out and touch faith
Your own personal Jesus

Feeling unknown
And you're all alone
Flesh and bone
By the telephone
Lift up the receiver
I'll make you a believer
I will deliver
You know I'm a forgiver

Reach out and touch faith
Your own personal Jesus
Reach out and touch faith",0.1875,0.0,0.26666666666666666
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Going Backwards,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqB6LrpstGYn7tW7zzJVLjj-vicyurz1Otpa3zSwiG7T7Ri2XiIGgxdE4,Going Backwards,5:42,"We are not there yet
We have not evolved
We have no respect
We have lost control
We're going backwards
Ignoring the realities
Going backwards
Are you counting all the casualties?

We are not there yet
Where we need to be
We are still in debt
To our insanities
We're going backwards
Turning back our history
Going backwards
Piling on the misery

We can track it all with satellites
See it all in plain sight
Watch men die in real time
But we have nothing inside
We feel nothing inside

We are not there yet
We have lost our soul
The course has been set
We're digging our own hole
We're going backwards
Armed with new technology
Going backwards
To a caveman mentality

We can emulate on consoles
Killings we can control
With senses that have been dulled
Because there's nothing inside
We feel nothing inside

We feel nothing inside
(We feel nothing, nothing inside)
We feel nothing inside
(We feel nothing, nothing inside)
We feel nothing inside
(We feel nothing, nothing inside)
We feel nothing inside
(We feel nothing, nothing inside)
We feel nothing inside
(We feel nothing, nothing inside)
Because there's nothing inside
Because there's nothing inside",0.0,0.0,0.1444155844155844
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Spirit,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYriOtawjMcJDIaHUieKb4WotwQO9MOGBvAX0JT4g2DQI4x83q8UIBpLo,Going Backwards,5:42,"We are not there yet
We have not evolved
We have no respect
We have lost control
We're going backwards
Ignoring the realities
Going backwards
Are you counting all the casualties?

We are not there yet
Where we need to be
We are still in debt
To our insanities
We're going backwards
Turning back our history
Going backwards
Piling on the misery

We can track it all with satellites
See it all in plain sight
Watch men die in real time
But we have nothing inside
We feel nothing inside

We are not there yet
We have lost our soul
The course has been set
We're digging our own hole
We're going backwards
Armed with new technology
Going backwards
To a caveman mentality

We can emulate on consoles
Killings we can control
With senses that have been dulled
Because there's nothing inside
We feel nothing inside

We feel nothing inside
(We feel nothing, nothing inside)
We feel nothing inside
(We feel nothing, nothing inside)
We feel nothing inside
(We feel nothing, nothing inside)
We feel nothing inside
(We feel nothing, nothing inside)
We feel nothing inside
(We feel nothing, nothing inside)
Because there's nothing inside
Because there's nothing inside",0.0,0.0,0.1444155844155844
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Spirit,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYriOtawjMcJDIaHUieKb4WotwQO9MOGBvAX0JT4g2DQI4x83q8UIBpLo,Where's the Revolution,4:59,"You've been kept down
You've been pushed 'round
You've been lied to
You've been fed truths
Who's making your decisions?
You or your religion
Your government, your countries
You patriotic junkies

Where's the revolution
Come on, people
You're letting me down
Where's the revolution
Come on, people
You're letting me down

You've been pissed on
For too long
Your rights abused
Your views refused
They manipulate and threaten
With terror as a weapon
Scare you till you're stupefied
Wear you down until you're on their side

Where's the revolution
Come on, people
You're letting me down
Where's the revolution
Come on, people
You're letting me down

The train is coming
The train is coming
The train is coming
The train is coming
So get on board
Get on board
Get on board
Get on board

The engine's humming
The engine's humming
The engine's humming
The engine's humming
So get on board
Get on board
Get on board
Get on board

The train is coming
The train is coming
The train is coming
The train is coming
So get on board
Get on board
Get on board
Get on board

The engine's humming
The engine's humming
The engine's humming
The engine's humming
So get on board
Get on board
Get on board

Where's the revolution
Come on, people
You're letting me down
Where's the revolution
Come on, people
You're letting me down

Where's the revolution
Come on, people
You're letting me down",0.0,0.0,-0.15000000000000005
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Spirit,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYriOtawjMcJDIaHUieKb4WotwQO9MOGBvAX0JT4g2DQI4x83q8UIBpLo,The Worst Crime,3:48,"There's a lynching in the square
You will have to join us
Everyone's going to be there
We're setting up the truss
Once there were solutions
Now we have no excuses
They got lost in confusion
So we're preparing the nooses

And oh we had so much time
How could we commit the worst crime?

Blame misinformation
Misguided leaders
Apathetic hesitation
Uneducated readers
For whatever reason
We now find ourselves in this
We are all charged with treason
There is no one left to hiss

And oh we had so much time
How could we commit the worst crime?

We're the judge and the jury
The hangman, the convict
It's too late for fury
Our indictment was handpicked
So step up to the gallows
And accept your sentence
For being so shallow
You must pay your penance

And oh we had so much time
How could we commit the worst crime?
And oh we had so much time
How could we commit the worst crime?",0.0,-1.0,-0.34848484848484845
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Spirit,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYriOtawjMcJDIaHUieKb4WotwQO9MOGBvAX0JT4g2DQI4x83q8UIBpLo,Scum,3:14,"Hey scum, hey scum
What have you ever done for anyone
Hey scum, hey scum
What are you going to do when karma comes

A' calling
And you're falling
And there's nowhere left to run
And you're weeping
Not sleeping
And you're begging for your gun

Pull the trigger

Hey scum, hey scum
What have you ever done for anyone
Hey scum, hey scum
What will you do when judgement time has come

And you're kneeling
And you're squealing
And you're looking for someone
To bear witness
To your goodness
You can't even find your son

Pull the trigger
Pull the trigger

You wouldn't even offer up your crumbs
To the dying
And crying
You're dead inside, you're numb
You're hollow
And shallow
Your empty life is done

Pull the trigger
Pull the trigger
Hey scum, hey scum
Pull the trigger
Hey scum, hey scum
Pull the trigger",0.0,-0.3,-0.27017543859649124
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Spirit,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYriOtawjMcJDIaHUieKb4WotwQO9MOGBvAX0JT4g2DQI4x83q8UIBpLo,You Move,3:49,"We had something, that was yesterday
Temptations knocking at my door
You talk to me about the life we could've had
But we don't have that life no more

But I like the way you move
Yeah I like the way you move for me tonight
I like the way you move
I like the way you move for me tonight
Alright now

If you give me something that you and I can play
Let me ring your bell
I don't need you, I don't need your ball and chain
There's no water in that well

But I like the way you move
I like the way you move for me tonight
I like the way you move
I like the way you move for me tonight
Alright yeah
All night
Alright now
All night

Imagination is all it takes
You came knocking at my door
You talk to me about the life we should've had
You know, you could have given more

But I like the way you move
Yeah I like the way you move for me tonight
Yeah I like the way you move
I like the way you move for me tonight
Alright now
All night",0.0,0.0,0.125
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Spirit,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYriOtawjMcJDIaHUieKb4WotwQO9MOGBvAX0JT4g2DQI4x83q8UIBpLo,Cover Me,4:51,"I've felt better
I've been up all night
I can feel it coming
The morning light

The air is so cold here
It's so hard to breathe
We better take cover
Will you cover me?

Way up here with the Northern lights
Beyond you and me
I dreamt of us in another life
One we've never reached

You know we're sinking
We could fade away
I'm not going down
Not today

The air is so cold here
Too cold to see
We have to take cover
Cover me

Way up here with the Northern lights
Beyond these broken bars
I pictured us in another life
Where we're all super stars",0.0,0.0,-0.0913888888888889
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Spirit,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYriOtawjMcJDIaHUieKb4WotwQO9MOGBvAX0JT4g2DQI4x83q8UIBpLo,Eternal,2:24,"Oh little one
I will protect you
And surround you with my love
As well as any man can
As well as any man could

I will be there for you
Always
And when the black cloud rises
And the radiation falls
I will look you in the eye
And kiss you
And give you all my love
As well as any man can
As well as any man could

You are my eternal
Eternal love",0.0,0.0,0.22916666666666669
Depeche Mode, Regno Unito,Rock elettronico;New wave,1980 – in attività,Spirit,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYriOtawjMcJDIaHUieKb4WotwQO9MOGBvAX0JT4g2DQI4x83q8UIBpLo,Poison Heart,3:17,"You have poison in your heart
Yeah I'm sure of it
I knew right from the start
From the moment we met
You know we have to break up
You'll always be alone

You know you've never ever been a friend
Now we're closer to the edge
Oh oh oh, no
Oh oh oh, no

There's poison in your mind
Yeah I'm sure of it
You've never been that kind
With all due respect
You know it's time to break up
You'll always be alone

You know you've never ever been a friend
Now we're closer to the end
Oh oh oh, no
Oh oh oh, no

We've been walking far too long this icy road
My broken heart is colder than a stone
I know you've never ever been a friend
Now you've pushed me to the end

Oh oh oh, no
Oh oh oh, no",0.0,0.0,0.14563492063492062
