band name,country,genres,activity,album title,album year,album img,song title,song len,song lyric,album title sentiment,song title sentiment,song lyric sentiment,neutral sents,positive sents,negative sents,neutral words,positive words,negative words
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Radio Gnome Invisible,5:33,"Gnome, gnome  
Radio gnome  
Radio gnome, radio gnome invisible

Then when you're receiving
Perceiving your telepathic powers
Who knows why the wind blows through this window
Why you believe in me
We believe in you

What's that in the sky now?
Teapots that can fly now
Voices in your head
Tell me what they said

Banana, nirvana, manana (you know)
Banana, nirvana, manana (i know)
Banana, nirvana, manana (we know)
Banana, nirvana, manana (who knows)
Banana, nirvana, manana (you know)
Banana, nirvana, manana (i know)
Banana, nirvana, manana (we know)
Banana, nirvana, manana (who knows)

Everything you think shows
Hanging round your head
Underneath your long hair
Tell me what you feel there

You hear me
But I don't see you
You feel me
One day I'll be you

Radio gnome 
Radio gnome invisible

Then when you're receiving
Believing your telepathic powers
Who knows why the wind blows through this window
Why you believe in me
We believe in you

What's that in the sky now?
Teapots that can fly now
Voices in your head
Tell me what they said",0.0,0.0,0.3375,"gnome, gnome###radio gnome###radio gnome, radio gnome invisible###then when you're receiving###perceiving your telepathic powers###who knows why the wind blows through this window###why you believe in me###we believe in you###what's that in the sky now?###voices in your head###tell me what they said###banana, nirvana, manana (you know)###banana, nirvana, manana (i know)###banana, nirvana, manana (we know)###banana, nirvana, manana (who knows)###banana, nirvana, manana (you know)###banana, nirvana, manana (i know)###banana, nirvana, manana (we know)###banana, nirvana, manana (who knows)###everything you think shows###tell me what you feel there###you hear me###but i don't see you###you feel me###one day i'll be you###radio gnome###radio gnome invisible###then when you're receiving###believing your telepathic powers###who knows why the wind blows through this window###why you believe in me###we believe in you###what's that in the sky now?###voices in your head###tell me what they said",teapots that can fly now###teapots that can fly now,hanging round your head###underneath your long hair,gnome###gnome###radio###gnome###radio###gnome###radio###gnome###invisible###receiving###perceiving###telepathic###powers###knows###wind###blows###window###believe###believe###sky###teapots###voices###head###tell###said###banana###nirvana###manana###know###banana###nirvana###manana###know###banana###nirvana###manana###know###banana###nirvana###manana###knows###banana###nirvana###manana###know###banana###nirvana###manana###know###banana###nirvana###manana###know###banana###nirvana###manana###knows###everything###think###shows###hanging###head###underneath###hair###tell###feel###hear###see###feel###one###day###radio###gnome###radio###gnome###invisible###receiving###believing###telepathic###powers###knows###wind###blows###window###believe###believe###sky###teapots###voices###head###tell###said,fly###fly,round###long
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Flying Teapot,11:49,"If you feel belief hi Pete
I got a story to tell you
Of a band of little green men
From a far away planet
If you want to know about love
Then ask the wee geezer
He can teach you telepathy
He can read your mind backwards
If you try to do the cat in
You can only be a loser
Paranoia never touch him
He's got ways of laughter
Baby don't you bring yourself down
Got to catch you up later
If you want to know about love
You can ask the wee geezer
He can teach you telepathy
He can read your mind backwards
If you try to do the cat in
You can only be a loser
Paranoia never touch him
He's got ways of laughter
Baby don't you bring yourself down
I'll catch you up later
Give him a bit of your love you get it back later
Give him a bit of your love you get it back
Later

Hear me now from the Invisible Opera Company of Tibet

Have a cup of tea, have another one, have a cup of tea
Have a cup of tea, have another one, have a cup of tea
Have a cup of tea, have another one, have a cup of tea

High in the sky, what do you see ?
Come down to Earth, a cup of tea
Flying saucer, flying teacup
From outer space, flying teapot",0.0,0.0,0.0739912280701754,"if you feel belief hi pete###i got a story to tell you###then ask the wee geezer###he can teach you telepathy###he can read your mind backwards###if you try to do the cat in###you can only be a loser###paranoia never touch him###he's got ways of laughter###got to catch you up later###you can ask the wee geezer###he can teach you telepathy###he can read your mind backwards###if you try to do the cat in###you can only be a loser###paranoia never touch him###he's got ways of laughter###i'll catch you up later###later###hear me now from the invisible opera company of tibet###have a cup of tea, have another one, have a cup of tea###have a cup of tea, have another one, have a cup of tea###have a cup of tea, have another one, have a cup of tea###flying saucer, flying teacup###from outer space, flying teapot","from a far away planet###if you want to know about love###if you want to know about love###give him a bit of your love you get it back later###give him a bit of your love you get it back###high in the sky, what do you see ?","of a band of little green men###baby don't you bring yourself down###baby don't you bring yourself down###come down to earth, a cup of tea",feel###belief###hi###pete###got###story###tell###band###men###away###planet###want###know###ask###wee###geezer###teach###telepathy###read###mind###backwards###try###cat###loser###paranoia###never###touch###got###ways###laughter###baby###bring###got###catch###later###want###know###ask###wee###geezer###teach###telepathy###read###mind###backwards###try###cat###loser###paranoia###never###touch###got###ways###laughter###baby###bring###catch###later###give###bit###get###back###later###give###bit###get###back###later###hear###invisible###opera###company###tibet###cup###tea###another###one###cup###tea###cup###tea###another###one###cup###tea###cup###tea###another###one###cup###tea###sky###see###come###earth###cup###tea###flying###saucer###flying###teacup###outer###space###flying###teapot,far###love###love###love###love###high,little###green
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Other Side of the Sky,7:37,"To pass beyond the countless worlds
The eternal wheel
The ceaseless tides of selves
Ever passing away before your eyes 

All life's light that I've seen 
Here before me 

Hare hare supermarket!
Hare hare supermarket!
Hare hare hare supermarket!
Hare hare London bus!
Hare hare ladies' lavatory 
Hare hare hare hare hare hare",0.0,-0.125,0.2921875,to pass beyond the countless worlds###the eternal wheel###ever passing away before your eyes###here before me###hare hare supermarket!###hare hare supermarket!###hare hare hare supermarket!###hare hare london bus!###hare hare ladies' lavatory###hare hare hare hare hare hare,all life's light that i've seen,the ceaseless tides of selves,pass###beyond###countless###worlds###eternal###wheel###tides###selves###ever###passing###away###eyes###life###seen###hare###hare###supermarket###hare###hare###supermarket###hare###hare###hare###supermarket###hare###hare###london###bus###hare###hare###ladies###lavatory###hare###hare###hare###hare###hare###hare,light,ceaseless
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Prostitute Poem,4:52,"It is night
It's not night
I'm happy
I'm not happy

I'm sad
I'm not sad
It's early
It's late

Je marche
Je marche pas

Bonsoir monsieur
Tu viens avec moi ?
Tu viens mon cheri ?
Oui monsieur, viens
Tu es pret ?
Viens...

Ca m'est egal
What do you want me to do?
Je veux - je veux pas
I touch you - et see'est dur monsieur
It's not like that
I'll show you...
Show you love... love...
Let me sink...
Ohhh...

Je dois manger - n'importe quoi
I break off the corner of your mind and eat it
I'm eating your mind
I'm eating your body
Viens ici ici
Come I want your body
Viens, viens faire l'amour
Faire l'amour
Faire l'amour

Come into my arms
I kiss your lips
You die
I want your body
I do not want your body
De quoi s'agit-il ?
Bonne nuit - good night
Bonjour - mornin'
It's night - it's day
It's morning
see'est ca, non?",0.0,0.0,0.1833333333333333,"it is night###it's not night###je marche###je marche pas###bonsoir monsieur###tu viens avec moi ?###tu viens mon cheri ?###oui monsieur, viens###tu es pret ?###viens...###ca m'est egal###what do you want me to do?###je veux - je veux pas###i touch you - et see'est dur monsieur###it's not like that###i'll show you...###let me sink...###ohhh...###je dois manger - n'importe quoi###i break off the corner of your mind and eat it###i'm eating your mind###i'm eating your body###viens ici ici###come i want your body###viens, viens faire l'amour###faire l'amour###faire l'amour###come into my arms###i kiss your lips###you die###i want your body###i do not want your body###de quoi s'agit-il ?###bonjour - mornin'###it's night - it's day###it's morning###see'est ca, non?",i'm happy###i'm not sad###it's early###show you love... love...###bonne nuit - good night,i'm not happy###i'm sad###it's late,night###night###je###marche###je###marche###pas###bonsoir###monsieur###tu###viens###avec###moi###tu###viens###mon###cheri###oui###monsieur###viens###tu###es###pret###viens###ca###est###egal###want###je###veux###je###veux###pas###touch###et###see###est###dur###monsieur###like###show###show###let###sink###ohhh###je###dois###manger###n###importe###quoi###break###corner###mind###eat###eating###mind###eating###body###viens###ici###ici###come###want###body###viens###viens###faire###l###amour###faire###l###amour###faire###l###amour###come###arms###kiss###lips###die###want###body###want###body###de###quoi###agit###il###bonne###nuit###night###bonjour###mornin###night###day###morning###see###est###ca###non,happy###happy###early###love###love###good,sad###sad###late
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Givin' My Love to You,0:44,"I'm giving my love to you
Cause I only want to see you smile
You got nothing to lose
But the failure to choose

Oh no, give a dog a bone
Don't come thinkin' through the door
You won't forget us
Cause we will not let you
Cause we're lovin' you more and more",0.0,0.5,0.2472222222222222,"you got nothing to lose###oh no, give a dog a bone###don't come thinkin' through the door###you won't forget us###cause we will not let you",i'm giving my love to you###cause i only want to see you smile###cause we're lovin' you more and more,but the failure to choose,giving###cause###want###see###got###nothing###lose###choose###oh###give###dog###bone###come###thinkin###door###forget###us###cause###let###cause###lovin,love###smile,failure
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Oily Way,3:36,"good evening
we aren't presenting the hubba gubba tea company
of tibbert
would you like some tea?

(cup of tea..)",0.0,0.0,0.7,we aren't presenting the hubba gubba tea company###of tibbert###would you like some tea?###(cup of tea..),good evening,,evening###presenting###hubba###gubba###tea###company###tibbert###would###like###tea###cup###tea,good,
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,I Never Glid Before,5:35,"The light gets stronger and all our eyes look
yonder to see what's going on
But that's all right you'll soon be out
of sight and surfing to the sun
The moonwheel's turning, the waves unfulling you're
learning you're Zero at the centre of the whirlpool

Your aquaman and in your hand is a watering,
can I now or can I not believe it leave it to be
The fun gods winking and we're all blinking and
thinking we're sinking in the sea
You're in your glider the tide you're riding inside her
is turnin with the moony like the sky... boy

Okay, you're Mister Illusion
Smiling in all this confusion
'cause you're young today, tomorrow start to play
I'd just like to say

No I never
No I never ever ever glid before
I never - oh no

Last warning tide turning
Moon burning slow motion
Waves that you ride
Just to bolster your pride
But if it's love that you're after
The craft of a hero
Will vibe at your side as alone you may glide
With a tiny afterthought
Flashing as the planet calls

I never never glid before

Open up the veil and let us take a peep in
through the moon and diving deep we'll meet the whale
Where rides the captain submarine
Who told the tale of pixies green
That sends us kisses in the brain
And out-far planets never seen
Except by technicolour dream

I never never glid before

That's another story - now's the time to go and find
The cuppa tea - see",0.0,0.0,0.1321428571428571,"yonder to see what's going on###of sight and surfing to the sun###the moonwheel's turning, the waves unfulling you're###learning you're zero at the centre of the whirlpool###your aquaman and in your hand is a watering,###can i now or can i not believe it leave it to be###thinking we're sinking in the sea###you're in your glider the tide you're riding inside her###is turnin with the moony like the sky... boy###smiling in all this confusion###i'd just like to say###no i never###no i never ever ever glid before###i never - oh no###last warning tide turning###waves that you ride###just to bolster your pride###the craft of a hero###will vibe at your side as alone you may glide###with a tiny afterthought###flashing as the planet calls###i never never glid before###open up the veil and let us take a peep in###through the moon and diving deep we'll meet the whale###where rides the captain submarine###that sends us kisses in the brain###and out-far planets never seen###except by technicolour dream###i never never glid before###that's another story - now's the time to go and find###the cuppa tea - see","the light gets stronger and all our eyes look###but that's all right you'll soon be out###the fun gods winking and we're all blinking and###okay, you're mister illusion###'cause you're young today, tomorrow start to play###but if it's love that you're after",moon burning slow motion###who told the tale of pixies green,gets###stronger###eyes###look###yonder###see###going###soon###sight###surfing###sun###moonwheel###turning###waves###unfulling###learning###zero###centre###whirlpool###aquaman###hand###watering###believe###leave###gods###winking###blinking###thinking###sinking###sea###glider###tide###riding###inside###turnin###moony###like###sky###boy###mister###illusion###smiling###confusion###cause###today###tomorrow###start###play###like###say###never###never###ever###ever###glid###never###oh###last###warning###tide###turning###moon###burning###motion###waves###ride###bolster###pride###craft###hero###vibe###side###alone###may###glide###tiny###afterthought###flashing###planet###calls###never###never###glid###open###veil###let###us###take###peep###moon###diving###deep###meet###whale###rides###captain###submarine###told###tale###pixies###sends###us###kisses###brain###planets###never###seen###except###technicolour###dream###never###never###glid###another###story###time###go###find###cuppa###tea###see,light###right###fun###okay###young###love###far,slow###green
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Thoughts for Naught,1:32,"If you want to fly,
If you want to become a star
A superhero
You could try the ascension of the great pyramid of life
Counting again and again from one to nine
Approaching and pushing away infinity, o sweet absurdity!
But if you prefer that old silly number zero
You'll become a master of doing nothing, being nothing",0.0,0.0,0.2729166666666667,"if you want to become a star###a superhero###counting again and again from one to nine###you'll become a master of doing nothing, being nothing","if you want to fly,###you could try the ascension of the great pyramid of life###approaching and pushing away infinity, o sweet absurdity!",but if you prefer that old silly number zero,want###want###become###star###superhero###could###try###ascension###pyramid###life###counting###one###nine###approaching###pushing###away###infinity###absurdity###prefer###number###zero###become###master###nothing###nothing,fly###great###sweet###old,silly
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Master Builder,6:15,"IAO ZA-I ZA-O
MA-I MA-O
TA-I TA-O NOW

Q: Master Builder, tell me how you make a temple ?
A: Tools and moon stones,
you don't really need them, you know...
Q: Master Builder, tell me what the temple's made of ?
A: Deep inside you,
you can build an invisible temple in your own imagination
if you will",0.0,0.0,0.2666666666666666,"iao za-i za-o###ma-i ma-o###ta-i ta-o now###q: master builder, tell me how you make a temple ?###a: tools and moon stones,###q: master builder, tell me what the temple's made of ?###a: deep inside you,###if you will","you don't really need them, you know...###you can build an invisible temple in your own imagination",,iao###za###za###ta###ta###q###master###builder###tell###make###temple###tools###moon###stones###need###know###q###master###builder###tell###temple###made###deep###inside###build###invisible###temple###imagination,really,
Gong,multinazionale,Space rock;Rock sperimentale;Rock psichedelico;Rock progressivo;Musica elettronica,1969 – in attività,Radio Gnome Invisible Trilogy,2016,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdi6Njyx7kyV8voIpAFuU0WPHLtSZqF6ZhMPPkCVZ09yeTfD05AeJyml7_,Perfect Mystery,2:33,"It's a perfect mystery
How becomes a tree a tree
But there's something telling me
That
Nothing is for nothing is for
Nothing is for only one lifetime
Learning to be

Cops at the door
No cops at the door
Cops at the door
No cops at the door

What a surprise!
She looked in the cupboard
And found the eyes
In the suitcase

On the Isle of Everywhere
It becomes a man to share
All and everything he cares for
Everyone is everybody else is
Slowly melting themselves
Together again

Look up in the air
The Octave Doctor's there!
And when he strokes his gong
Your middle eye comes on

What a surprise!
She looked around for Zero
But he'd lost his eyes
In a fruitcake",0.0,1.0,0.15625,how becomes a tree a tree###but there's something telling me###that###nothing is for nothing is for###nothing is for only one lifetime###learning to be###cops at the door###no cops at the door###cops at the door###no cops at the door###what a surprise!###she looked in the cupboard###and found the eyes###in the suitcase###on the isle of everywhere###it becomes a man to share###all and everything he cares for###everyone is everybody else is###together again###look up in the air###the octave doctor's there!###and when he strokes his gong###your middle eye comes on###what a surprise!###she looked around for zero###but he'd lost his eyes###in a fruitcake,it's a perfect mystery,slowly melting themselves,mystery###becomes###tree###tree###something###telling###nothing###nothing###nothing###one###lifetime###learning###cops###door###cops###door###cops###door###cops###door###surprise###looked###cupboard###found###eyes###suitcase###isle###everywhere###becomes###man###share###everything###cares###everyone###everybody###else###melting###together###look###air###octave###doctor###strokes###gong###middle###eye###comes###surprise###looked###around###zero###lost###eyes###fruitcake,perfect,slowly
