band name,country,genres,activity,album title,album year,album img,song title,song len,song lyric,album title sentiment,song title sentiment,song lyric sentiment,neutral sents,positive sents,negative sents,neutral words,positive words,negative words
Nick Drake, Inghilterra,Folk,1969 – 1974,20 #1’s: Singer-Songwriters,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRehflUvRuQGMjLp2Kp46ISYwhpbFwM2o1DHJSIsgba287Ry6r86_XqFqE,Pink Moon,2:04,"Saw it written and I saw it say
Pink moon is on its way
And none of you stand so tall
Pink moon gonna get ye all
And it’s a pink moon
Hey it's a pink moon
Pink, pink, pink, pink, pink moon
Pink, pink, pink, pink, pink moon

I saw it written and I saw it say
Pink moon is on its way
And none of you stand so tall
Pink moon gonna get ye all
It’s a pink moon
Yea, it's a pink moon",0.0,-0.1,-0.1,saw it written and i saw it say###and none of you stand so tall###i saw it written and i saw it say###and none of you stand so tall,,"pink moon is on its way###pink moon gonna get ye all###and it’s a pink moon###hey it's a pink moon###pink, pink, pink, pink, pink moon###pink, pink, pink, pink, pink moon###pink moon is on its way###pink moon gonna get ye all###it’s a pink moon###yea, it's a pink moon",saw###written###saw###say###moon###way###none###stand###tall###moon###gonna###get###ye###moon###hey###moon###moon###moon###saw###written###saw###say###moon###way###none###stand###tall###moon###gonna###get###ye###moon###yea###moon,,pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink
Nick Drake, Inghilterra,Folk,1969 – 1974,Acoustic '70s [Warner],2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWEluCD4DPsQhgcP6lSG5bqhW1v-A3DtmmO7CJHaZdU0YxboJ-kgNspNU,One of These Things First,4:49,"I could have been a sailor, could have been a cook
A real live lover, could have been a book
I could have been a signpost, could have been a clock
As simple as a kettle, steady as a rock
I could be
Here and now
I would be, I should be
But how?
I could have been
One of these things first
I could have been
One of these things first

I could have been your pillar, could have been your door
I could have stayed beside you, could have stayed for more
Could have been your statue, could have been your friend,
A whole long lifetime could have been the end
I could be yours so true
I would be, I should be through and through
I could have been
One of these things first
I could have been 
One of these things first

I could have been a whistle, could have been a flute
A real live giver, could have been a boot
I could have been a signpost, could have been a clock
As simple as a kettle, steady as a rock
I could be even here
I would be, I should be so near
I could have been
One of these things first
I could have been
One of these things first",0.0,0.25,0.1966131907308377,"i could have been a sailor, could have been a cook###i could have been a signpost, could have been a clock###i could be###here and now###i would be, i should be###but how?###i could have been###i could have been###i could have been your pillar, could have been your door###could have been your statue, could have been your friend,###i would be, i should be through and through###i could have been###i could have been###i could have been a whistle, could have been a flute###i could have been a signpost, could have been a clock###i could be even here###i could have been###i could have been","a real live lover, could have been a book###as simple as a kettle, steady as a rock###one of these things first###one of these things first###i could have stayed beside you, could have stayed for more###a whole long lifetime could have been the end###i could be yours so true###one of these things first###one of these things first###a real live giver, could have been a boot###as simple as a kettle, steady as a rock###i would be, i should be so near###one of these things first###one of these things first",,could###sailor###could###cook###lover###could###book###could###signpost###could###clock###simple###kettle###rock###could###would###could###one###things###could###one###things###could###pillar###could###door###could###stayed###beside###could###stayed###could###statue###could###friend###lifetime###could###end###could###would###could###one###things###could###one###things###could###whistle###could###flute###giver###could###boot###could###signpost###could###clock###simple###kettle###rock###could###even###would###could###one###things###could###one###things,real###live###steady###first###first###whole###true###first###first###real###live###steady###near###first###first,long
Nick Drake, Inghilterra,Folk,1969 – 1974,"Fip, Vol. 3",2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4-tprJtEGHdN72duGhw0nzQwnnbQgaMX9t3VeYEnhbW2qqUgY8F0i6F8,Poor Boy,6:06,"Never sing for my supper
I never help my neighbor
Never do what is proper
For my fair share of labor.

I'm a poor boy
And I'm a rover
Count your coins and
Throw them over my shoulder
I may grow older
Nobody knows
How cold it grows
And nobody sees
How shaky my knees
Nobody cares
How steep my stairs
And nobody smiles
If I cross their stiles.

Oh poor boy
So sorry for himself
Oh poor boy
So worried for his health.
You may say every day
Where will he stay tonight.

Never know what I came for
Seems that I've forgotten
Never ask what I came for
Or how I was begotten.

I'm a poor boy
And I'm a ranger
Things I say
May seem stranger than Sunday
Changing to Monday.
Nobody knows
How cold it flows
And nobody feels
The worn down heels
Nobody's eyes
Make the skies
Nobody spreads
Their aching heads.

Oh poor boy
So worried for his life
Oh poor boy
So keen to take a wife.

He's a mess but he'll say yes
If you just dress in white.

Nobody knows 
How cold it blows
And nobody sees
How shaky my knees
Nobody cares
How steep my stairs
And nobody smiles
If you cross their stiles.

Oh poor boy
So sorry for himself
Oh poor boy
So worried for his health.
You may say every day
Where will he stay tonight.

Oh poor boy
So worried for his life
Oh poor boy
So keen to take a wife.

Oh poor boy
So sorry for himself
Oh poor boy
So worried for his health
Oh poor boy.",0.0,-0.4,-0.2976053639846743,never sing for my supper###i never help my neighbor###never do what is proper###and i'm a rover###count your coins and###throw them over my shoulder###nobody knows###and nobody sees###nobody cares###how steep my stairs###and nobody smiles###if i cross their stiles.###so worried for his health.###you may say every day###where will he stay tonight.###never know what i came for###seems that i've forgotten###never ask what i came for###or how i was begotten.###and i'm a ranger###things i say###may seem stranger than sunday###changing to monday.###nobody knows###and nobody feels###nobody's eyes###make the skies###nobody spreads###their aching heads.###so worried for his life###so keen to take a wife.###if you just dress in white.###nobody knows###and nobody sees###nobody cares###how steep my stairs###and nobody smiles###if you cross their stiles.###so worried for his health.###you may say every day###where will he stay tonight.###so worried for his life###so keen to take a wife.###so worried for his health,for my fair share of labor.###i may grow older,i'm a poor boy###how cold it grows###how shaky my knees###oh poor boy###so sorry for himself###oh poor boy###i'm a poor boy###how cold it flows###the worn down heels###oh poor boy###oh poor boy###he's a mess but he'll say yes###how cold it blows###how shaky my knees###oh poor boy###so sorry for himself###oh poor boy###oh poor boy###oh poor boy###oh poor boy###so sorry for himself###oh poor boy###oh poor boy.,never###sing###supper###never###help###neighbor###never###proper###share###labor###boy###rover###count###coins###throw###shoulder###may###grow###nobody###knows###grows###nobody###sees###knees###nobody###cares###steep###stairs###nobody###smiles###cross###stiles###oh###boy###oh###boy###worried###health###may###say###every###day###stay###tonight###never###know###came###seems###forgotten###never###ask###came###begotten###boy###ranger###things###say###may###seem###stranger###sunday###changing###monday###nobody###knows###flows###nobody###feels###worn###heels###nobody###eyes###make###skies###nobody###spreads###aching###heads###oh###boy###worried###life###oh###boy###keen###take###wife###say###yes###dress###white###nobody###knows###blows###nobody###sees###knees###nobody###cares###steep###stairs###nobody###smiles###cross###stiles###oh###boy###oh###boy###worried###health###may###say###every###day###stay###tonight###oh###boy###worried###life###oh###boy###keen###take###wife###oh###boy###oh###boy###worried###health###oh###boy,fair###older,poor###cold###shaky###poor###sorry###poor###poor###cold###poor###poor###mess###cold###shaky###poor###sorry###poor###poor###poor###poor###sorry###poor###poor
Nick Drake, Inghilterra,Folk,1969 – 1974,This Is Us [Original TV Soundtrack],2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB3xLJyVRClT3DpHhmMi3F_7zJ8ic9kieo1VdyXwFTwK97BIYo8NvKFog,Northern Sky,3:44,"I never felt magic crazy as this
I never saw moons knew the meaning of the sea
I never held emotion in the palm of my hand
Or felt sweet breezes in the top of a tree
But now you're here
Brighten my northern sky.

I've been a long time that I'm waiting
Been a long that I'm blown
I've been a long time that I've wandered
Through the people I have known
Oh, if you would and you could
Straighten my new mind's eye.

Would you love me for my money
Would you love me for my head
Would you love me through the winter
Would you love me 'til I'm dead
Oh, if you would and you could
Come blow your horn on high.

I never felt magic crazy as this
I never saw moons knew the meaning of the sea
I never held emotion in the palm of my hand
Or felt sweet breezes in the top of a tree
But now you're here
Brighten my northern sky.",0.375,0.0,0.1914646464646464,"i never saw moons knew the meaning of the sea###i never held emotion in the palm of my hand###but now you're here###brighten my northern sky.###through the people i have known###oh, if you would and you could###oh, if you would and you could###i never saw moons knew the meaning of the sea###i never held emotion in the palm of my hand###but now you're here###brighten my northern sky.",or felt sweet breezes in the top of a tree###straighten my new mind's eye.###would you love me for my money###would you love me for my head###would you love me through the winter###would you love me 'til i'm dead###come blow your horn on high.###or felt sweet breezes in the top of a tree,i never felt magic crazy as this###i've been a long time that i'm waiting###been a long that i'm blown###i've been a long time that i've wandered###i never felt magic crazy as this,never###felt###never###saw###moons###knew###meaning###sea###never###held###emotion###palm###hand###felt###breezes###tree###brighten###northern###sky###time###waiting###blown###time###wandered###people###known###oh###would###could###straighten###mind###eye###would###money###would###head###would###winter###would###til###oh###would###could###come###blow###horn###never###felt###never###saw###moons###knew###meaning###sea###never###held###emotion###palm###hand###felt###breezes###tree###brighten###northern###sky,magic###sweet###top###new###love###love###love###love###high###magic###sweet###top,crazy###long###long###long###dead###crazy
Nick Drake, Inghilterra,Folk,1969 – 1974,Moods [Universal],2014,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx0mZyMd3KRbPQ1YasCccqQgBOQ3qbreGB-3OzpyJS1Msv8O6y1-MWyB00,Pink Moon,2:03,"Saw it written and I saw it say
Pink moon is on its way
And none of you stand so tall
Pink moon gonna get ye all
And it’s a pink moon
Hey it's a pink moon
Pink, pink, pink, pink, pink moon
Pink, pink, pink, pink, pink moon

I saw it written and I saw it say
Pink moon is on its way
And none of you stand so tall
Pink moon gonna get ye all
It’s a pink moon
Yea, it's a pink moon",0.0,-0.1,-0.1,saw it written and i saw it say###and none of you stand so tall###i saw it written and i saw it say###and none of you stand so tall,,"pink moon is on its way###pink moon gonna get ye all###and it’s a pink moon###hey it's a pink moon###pink, pink, pink, pink, pink moon###pink, pink, pink, pink, pink moon###pink moon is on its way###pink moon gonna get ye all###it’s a pink moon###yea, it's a pink moon",saw###written###saw###say###moon###way###none###stand###tall###moon###gonna###get###ye###moon###hey###moon###moon###moon###saw###written###saw###say###moon###way###none###stand###tall###moon###gonna###get###ye###moon###yea###moon,,pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink###pink
Nick Drake, Inghilterra,Folk,1969 – 1974,Silence Is Golden,2014,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRRlfVqdsZOxqlFbKH2c0by7xOxGj9J-6J_E4jCACMlPY3M8lgA0c_7qt4,Time Has Told Me,4:25,"Time has told me
You're a rare, rare find
A troubled cure
For a troubled mind

And time has told me
Not to ask for more
Someday our ocean
Will find its shore

So I'll leave the ways that are making me be
What I really don't want to be
Leave the ways that are making me love
What I really don't want to love

Time has told me
You came with the dawn
A soul with no footprint
A rose with no thorn

Your tears they tell me
There's really no way
Of ending your troubles
With things you can say

And time will tell you
To stay by my side
To keep on trying
'Til there's no more to hide

So leave the ways that are making you be
What you really don't want to be
Leave the ways that are making you love
What you really don't want to love

Time has told me
You're a rare, rare find
A troubled cure
For a troubled mind

And time has told me
Not to ask for more
So someday our ocean
Will find its shore",0.3,0.0,0.1547619047619047,time has told me###and time has told me###someday our ocean###will find its shore###so i'll leave the ways that are making me be###time has told me###you came with the dawn###a soul with no footprint###your tears they tell me###of ending your troubles###with things you can say###and time will tell you###to stay by my side###to keep on trying###so leave the ways that are making you be###time has told me###and time has told me###so someday our ocean###will find its shore,"you're a rare, rare find###not to ask for more###what i really don't want to be###leave the ways that are making me love###what i really don't want to love###a rose with no thorn###what you really don't want to be###leave the ways that are making you love###what you really don't want to love###you're a rare, rare find###not to ask for more",a troubled cure###for a troubled mind###there's really no way###'til there's no more to hide###a troubled cure###for a troubled mind,time###told###find###cure###mind###time###told###ask###someday###ocean###find###shore###leave###ways###making###want###leave###ways###making###want###time###told###came###dawn###soul###footprint###thorn###tears###tell###way###ending###troubles###things###say###time###tell###stay###side###keep###trying###til###hide###leave###ways###making###want###leave###ways###making###want###time###told###find###cure###mind###time###told###ask###someday###ocean###find###shore,rare###rare###really###love###really###love###rose###really###really###love###really###love###rare###rare,troubled###troubled###troubled###troubled
Nick Drake, Inghilterra,Folk,1969 – 1974,Les Trésors du Rock de Philippe Manoeuvre,2013,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAsCSQlNAKW8Hh_7ofn60Pi7uhr9D-WHGyHi7uvm8dspYjIs6fxVVYDiA&s,River Man,4:19,"Betty came by on her way
Said she had a word to say
About things today
And fallen leaves.

Said she hadn't heard the news
Hadn't had the time to choose
A way to lose
But she believes.

Going to see the river man
Going to tell him all I can
About the plan
For lilac time.

If he tells me all he knows
About the way his river flows
And all night shows
In summertime.

Betty said she prayed today
For the sky to blow away
Or maybe stay
She wasn't sure.

For when she thought of summer rain
Calling for her mind again
She lost the pain
And stayed for more.

Going to see the river man
Going to tell him all I can
About the ban
On feeling free.

If he tells me all he knows
About the way his river flows
I don't suppose
It's meant for me.

Oh, how they come and go
Oh, how they come and go.",0.0,0.0,0.4666666666666666,"betty came by on her way###said she had a word to say###about things today###and fallen leaves.###said she hadn't heard the news###hadn't had the time to choose###a way to lose###but she believes.###going to see the river man###going to tell him all i can###about the plan###for lilac time.###if he tells me all he knows###about the way his river flows###and all night shows###in summertime.###betty said she prayed today###for the sky to blow away###or maybe stay###for when she thought of summer rain###calling for her mind again###she lost the pain###going to see the river man###going to tell him all i can###about the ban###if he tells me all he knows###about the way his river flows###i don't suppose###it's meant for me.###oh, how they come and go###oh, how they come and go.",she wasn't sure.###and stayed for more.###on feeling free.,,betty###came###way###said###word###say###things###today###fallen###leaves###said###heard###news###time###choose###way###lose###believes###going###see###river###man###going###tell###plan###lilac###time###tells###knows###way###river###flows###night###shows###summertime###betty###said###prayed###today###sky###blow###away###maybe###stay###thought###summer###rain###calling###mind###lost###pain###stayed###going###see###river###man###going###tell###ban###feeling###tells###knows###way###river###flows###suppose###meant###oh###come###go###oh###come###go,sure###free,
Nick Drake, Inghilterra,Folk,1969 – 1974,Tuck Box,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6FP40DnApRlZ0GZPrLBHdq5qDhnBp-IYDpVDhLo_uxefdRw0DCFHg1K1J,Time Has Told Me,4:27,"Time has told me
You're a rare, rare find
A troubled cure
For a troubled mind

And time has told me
Not to ask for more
Someday our ocean
Will find its shore

So I'll leave the ways that are making me be
What I really don't want to be
Leave the ways that are making me love
What I really don't want to love

Time has told me
You came with the dawn
A soul with no footprint
A rose with no thorn

Your tears they tell me
There's really no way
Of ending your troubles
With things you can say

And time will tell you
To stay by my side
To keep on trying
'Til there's no more to hide

So leave the ways that are making you be
What you really don't want to be
Leave the ways that are making you love
What you really don't want to love

Time has told me
You're a rare, rare find
A troubled cure
For a troubled mind

And time has told me
Not to ask for more
So someday our ocean
Will find its shore",0.0,0.0,0.1547619047619047,time has told me###and time has told me###someday our ocean###will find its shore###so i'll leave the ways that are making me be###time has told me###you came with the dawn###a soul with no footprint###your tears they tell me###of ending your troubles###with things you can say###and time will tell you###to stay by my side###to keep on trying###so leave the ways that are making you be###time has told me###and time has told me###so someday our ocean###will find its shore,"you're a rare, rare find###not to ask for more###what i really don't want to be###leave the ways that are making me love###what i really don't want to love###a rose with no thorn###what you really don't want to be###leave the ways that are making you love###what you really don't want to love###you're a rare, rare find###not to ask for more",a troubled cure###for a troubled mind###there's really no way###'til there's no more to hide###a troubled cure###for a troubled mind,time###told###find###cure###mind###time###told###ask###someday###ocean###find###shore###leave###ways###making###want###leave###ways###making###want###time###told###came###dawn###soul###footprint###thorn###tears###tell###way###ending###troubles###things###say###time###tell###stay###side###keep###trying###til###hide###leave###ways###making###want###leave###ways###making###want###time###told###find###cure###mind###time###told###ask###someday###ocean###find###shore,rare###rare###really###love###really###love###rose###really###really###love###really###love###rare###rare,troubled###troubled###troubled###troubled
Nick Drake, Inghilterra,Folk,1969 – 1974,Tuck Box,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6FP40DnApRlZ0GZPrLBHdq5qDhnBp-IYDpVDhLo_uxefdRw0DCFHg1K1J,River Man,4:22,"Betty came by on her way
Said she had a word to say
About things today
And fallen leaves.

Said she hadn't heard the news
Hadn't had the time to choose
A way to lose
But she believes.

Going to see the river man
Going to tell him all I can
About the plan
For lilac time.

If he tells me all he knows
About the way his river flows
And all night shows
In summertime.

Betty said she prayed today
For the sky to blow away
Or maybe stay
She wasn't sure.

For when she thought of summer rain
Calling for her mind again
She lost the pain
And stayed for more.

Going to see the river man
Going to tell him all I can
About the ban
On feeling free.

If he tells me all he knows
About the way his river flows
I don't suppose
It's meant for me.

Oh, how they come and go
Oh, how they come and go.",0.0,0.0,0.4666666666666666,"betty came by on her way###said she had a word to say###about things today###and fallen leaves.###said she hadn't heard the news###hadn't had the time to choose###a way to lose###but she believes.###going to see the river man###going to tell him all i can###about the plan###for lilac time.###if he tells me all he knows###about the way his river flows###and all night shows###in summertime.###betty said she prayed today###for the sky to blow away###or maybe stay###for when she thought of summer rain###calling for her mind again###she lost the pain###going to see the river man###going to tell him all i can###about the ban###if he tells me all he knows###about the way his river flows###i don't suppose###it's meant for me.###oh, how they come and go###oh, how they come and go.",she wasn't sure.###and stayed for more.###on feeling free.,,betty###came###way###said###word###say###things###today###fallen###leaves###said###heard###news###time###choose###way###lose###believes###going###see###river###man###going###tell###plan###lilac###time###tells###knows###way###river###flows###night###shows###summertime###betty###said###prayed###today###sky###blow###away###maybe###stay###thought###summer###rain###calling###mind###lost###pain###stayed###going###see###river###man###going###tell###ban###feeling###tells###knows###way###river###flows###suppose###meant###oh###come###go###oh###come###go,sure###free,
Nick Drake, Inghilterra,Folk,1969 – 1974,Tuck Box,2013,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6FP40DnApRlZ0GZPrLBHdq5qDhnBp-IYDpVDhLo_uxefdRw0DCFHg1K1J,Three Hours,6:15,"Three hours from sundown
Jeremy flies
Hoping to keep 
The sun from his eyes
East from the city
And down to the cave
In search of a master
In search of a slave

Three hours from London
Jacomo's free
Taking his woes
Down to the sea
In search of a lifetime
To tell when he's home
In search of a story
That's never been known

Three hours from speaking
Everyone's flown
Not wanting to be
Seen on their own
Three hours is needed
To leave from them all
Three hours to wonder
And three hours to fall

Three hours from sundown
Jeremy flies
Hoping to keep the sun from his eyes
East from the city
And down to the cave
In search of a master
In search of a slave",0.0,0.0,0.1066666666666666,three hours from sundown###jeremy flies###hoping to keep###the sun from his eyes###east from the city###in search of a master###in search of a slave###three hours from london###taking his woes###in search of a lifetime###to tell when he's home###in search of a story###that's never been known###three hours from speaking###everyone's flown###not wanting to be###three hours is needed###to leave from them all###three hours to wonder###and three hours to fall###three hours from sundown###jeremy flies###hoping to keep the sun from his eyes###east from the city###in search of a master###in search of a slave,jacomo's free###seen on their own,and down to the cave###down to the sea###and down to the cave,three###hours###sundown###jeremy###flies###hoping###keep###sun###eyes###east###city###cave###search###master###search###slave###three###hours###london###jacomo###taking###woes###sea###search###lifetime###tell###home###search###story###never###known###three###hours###speaking###everyone###flown###wanting###seen###three###hours###needed###leave###three###hours###wonder###three###hours###fall###three###hours###sundown###jeremy###flies###hoping###keep###sun###eyes###east###city###cave###search###master###search###slave,free,
