band name,country,genres,activity,album title,album year,album img,song title,song len,song lyric,album title sentiment,song title sentiment,song lyric sentiment,neutral sents,positive sents,negative sents,neutral words,positive words,negative words
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Rough Trade Shops: End of The Road 2017,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwjK9m323CvQXo_eLfTYiZK8mh6UGwbmVc_7PI2pXwFZ4l-17adWWPZ9s&s,Sugar for the Pill,4:28,,-0.1,0.0,0.0,,,,,,
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD1M8LFS6t2K61WSxIxtiERvY-G0x9rZV3AQzCesCQDguuWZUyBbMdrqjJ,Slomo,6:53,"Give me your love, it's a curious love
Give me your heart, it's a curious thing
Our lady of the shipwreck is
Running thru the storm
Her skirts blown back, hands to the fore

My love and I go
It's a curious woe
Like dreamers at dawn
Awake but not yet
You give me your heart
It's a curious thing
Give me your love
It's a curious love

It burns and it slides
It's a curious ride
Give me your heart, yeah
Give me your heart
My love and I go
It's a curious woe

We're younger than clouds, younger than clouds

It burns and it slides
It's a curious ride
Give me your heart, yeah
Give me your heart",0.0,0.0,0.1294117647058823,"our lady of the shipwreck is###running thru the storm###her skirts blown back, hands to the fore###like dreamers at dawn###awake but not yet###you give me your heart###it burns and it slides###give me your heart, yeah###give me your heart###we're younger than clouds, younger than clouds###it burns and it slides###give me your heart, yeah###give me your heart","give me your love, it's a curious love###my love and i go###give me your love###it's a curious love###my love and i go","give me your heart, it's a curious thing###it's a curious woe###it's a curious thing###it's a curious ride###it's a curious woe###it's a curious ride",give###give###heart###thing###lady###shipwreck###running###thru###storm###skirts###blown###back###hands###fore###go###woe###like###dreamers###dawn###awake###yet###give###heart###thing###give###burns###slides###ride###give###heart###yeah###give###heart###go###woe###younger###clouds###younger###clouds###burns###slides###ride###give###heart###yeah###give###heart,love###love###love###love###love###love,curious###curious###curious###curious###curious###curious###curious###curious
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD1M8LFS6t2K61WSxIxtiERvY-G0x9rZV3AQzCesCQDguuWZUyBbMdrqjJ,Star Roving,5:38,"Give it away now, girl
Can't hold down tonight
Every black and white
Secret's a blinking light
Emma flies a kite
Said she's feeling love for everyone tonight
Although possible
Said she's feeling good, said she's feeling good

Smiling beautiful
She says I make it best
For everyone to hide
Twisting around my girl
Nothing left to lose
Nothing left to fight

Ooh, ooh

Give it away now, girl
Can't hold on to mine
Every black and white
Secret's seeking light
In a flash of time
Said she's feeling love for everyone tonight
Smiling beautiful
She says I make it best for everyone tonight

Ooh, ooh",0.0,0.0,0.2805555555555555,"give it away now, girl###secret's a blinking light###emma flies a kite###although possible###for everyone to hide###twisting around my girl###nothing left to lose###nothing left to fight###ooh, ooh###give it away now, girl###can't hold on to mine###secret's seeking light###in a flash of time###ooh, ooh","said she's feeling love for everyone tonight###said she's feeling good, said she's feeling good###smiling beautiful###she says i make it best###said she's feeling love for everyone tonight###smiling beautiful###she says i make it best for everyone tonight",can't hold down tonight###every black and white###every black and white,give###away###girl###hold###tonight###every###white###blinking###emma###flies###kite###said###feeling###everyone###tonight###although###possible###said###feeling###said###feeling###smiling###says###make###everyone###hide###twisting###around###girl###nothing###left###lose###nothing###left###fight###ooh###ooh###give###away###girl###hold###mine###every###white###seeking###flash###time###said###feeling###everyone###tonight###smiling###says###make###everyone###tonight###ooh###ooh,light###love###good###good###beautiful###best###light###love###beautiful###best,black###secret###black###secret
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD1M8LFS6t2K61WSxIxtiERvY-G0x9rZV3AQzCesCQDguuWZUyBbMdrqjJ,Don't Know Why,4:36,"Put it all behind you
Put it in a song, yeah
I don't want to know about it
Put it in a corner
Somewhere I can't find it
I don't want to think about

Put It on a fire
Put it in a pocket
I don't want to see you now
Put it in a picture
(Bury all the magic)
Hide it in a story
(Bury all the treasure)
I don't wanna know about

I don't remember much about it all
Just saw you loving someone else
And swallowing that bitter pill
My shabby heart was acting out
You know I don't want no one else

Threw it all upon a fire
Took the fight to someone else",0.0,0.0,0.1333333333333333,"put it in a song, yeah###i don't want to know about it###put it in a corner###somewhere i can't find it###i don't want to think about###put it on a fire###put it in a pocket###i don't want to see you now###put it in a picture###hide it in a story###(bury all the treasure)###i don't wanna know about###my shabby heart was acting out###you know i don't want no one else###threw it all upon a fire###took the fight to someone else",(bury all the magic)###i don't remember much about it all###just saw you loving someone else,put it all behind you###and swallowing that bitter pill,put###put###song###yeah###want###know###put###corner###somewhere###find###want###think###put###fire###put###pocket###want###see###put###picture###bury###hide###story###bury###treasure###wanna###know###remember###saw###someone###else###swallowing###pill###shabby###heart###acting###know###want###one###else###threw###upon###fire###took###fight###someone###else,magic###much###loving,behind###bitter
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD1M8LFS6t2K61WSxIxtiERvY-G0x9rZV3AQzCesCQDguuWZUyBbMdrqjJ,Sugar for the Pill,4:30,"There's a buzzard of gulls
They're drumming in the wind
Only lovers alive
Running in the dark

And I rolled away
Said we never wanted much
Just a rollercoast'
Our love has never known the way
Sugar for the pill
You know it's just the way things are
Cannot buy the sun
This jealousy will break the whole

Cut across the sky
And move a little closer now
Lying in a bed of greed
You know I had the strangest dream

And I rolled away
Said we never wanted much
Just a rollercoast'
Our love has never known the way
Sugar for the pill
You know it's just the way things are
Cannot buy the sun
This jealousy will break the whole

And I rolled away
Said we never wanted much
Just a rollercoast'
Our love has never known the way
Sugar for the pill
You know it's just the way things are
Cannot buy the sun
This jealousy will break the whole",0.0,0.0,0.1894230769230769,there's a buzzard of gulls###they're drumming in the wind###and i rolled away###just a rollercoast'###sugar for the pill###you know it's just the way things are###cannot buy the sun###cut across the sky###lying in a bed of greed###you know i had the strangest dream###and i rolled away###just a rollercoast'###sugar for the pill###you know it's just the way things are###cannot buy the sun###and i rolled away###just a rollercoast'###sugar for the pill###you know it's just the way things are###cannot buy the sun,only lovers alive###said we never wanted much###our love has never known the way###this jealousy will break the whole###said we never wanted much###our love has never known the way###this jealousy will break the whole###said we never wanted much###our love has never known the way###this jealousy will break the whole,running in the dark###and move a little closer now,buzzard###gulls###drumming###wind###lovers###running###rolled###away###said###never###wanted###rollercoast###never###known###way###sugar###pill###know###way###things###cannot###buy###sun###jealousy###break###cut###across###sky###move###closer###lying###bed###greed###know###strangest###dream###rolled###away###said###never###wanted###rollercoast###never###known###way###sugar###pill###know###way###things###cannot###buy###sun###jealousy###break###rolled###away###said###never###wanted###rollercoast###never###known###way###sugar###pill###know###way###things###cannot###buy###sun###jealousy###break,alive###much###love###whole###much###love###whole###much###love###whole,dark###little
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD1M8LFS6t2K61WSxIxtiERvY-G0x9rZV3AQzCesCQDguuWZUyBbMdrqjJ,Everyone Knows,4:22,"You're so beautiful
But you only knew
I see
But I don't know where you've been
But you're holding back
Just holding
You say you're fine
Going to America

You made it now
You can't stay with me
America
Take me to the place you love
Take me to America

You say you're fine
I don't know anymore
Say you're mine
Take me to America
You can take it slow
Just pack me up
Take me to the place you love
Take me to America",0.0,0.0,0.2979166666666666,but you only knew###i see###but i don't know where you've been###but you're holding back###just holding###going to america###you made it now###you can't stay with me###america###take me to america###i don't know anymore###say you're mine###take me to america###just pack me up###take me to america,you're so beautiful###you say you're fine###take me to the place you love###you say you're fine###take me to the place you love,you can take it slow,knew###see###know###holding###back###holding###say###going###america###made###stay###america###take###place###take###america###say###know###anymore###say###mine###take###america###take###pack###take###place###take###america,beautiful###fine###love###fine###love,slow
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD1M8LFS6t2K61WSxIxtiERvY-G0x9rZV3AQzCesCQDguuWZUyBbMdrqjJ,No Longer Making Time,5:48,"Come anyway
Say you're clean, you like it that way
You got a new boy
He keeps it light, you like it that way
Who cares anyway
Oh lord I remember the days
And all those nights
When you wanted so much more

Cathy, don't wait too long
We're no longer making time
Forever we'll be
Together, we breathe
No longer for too run

Come anyway
Come on down in your
Blue eyed way
Comes and it goes
You come around and I don't know why
Just lovers and life
Common ground, Yeah there's no surprise
Just holding your arms
Holding on till the fear, It goes

Cathy, don't wait too long
We're no longer making time
Forever we'll be
Together, we breathe
No longer for too run

Who cares anyway
Oh Lord, I remember those days
And all those nights
Holding on till the fear, it goes",0.0,0.0,0.0941638608305274,"come anyway###who cares anyway###oh lord i remember the days###and all those nights###we're no longer making time###forever we'll be###together, we breathe###no longer for too run###come anyway###blue eyed way###comes and it goes###you come around and i don't know why###just lovers and life###just holding your arms###holding on till the fear, it goes###we're no longer making time###forever we'll be###together, we breathe###no longer for too run###who cares anyway###oh lord, i remember those days###and all those nights###holding on till the fear, it goes","say you're clean, you like it that way###you got a new boy###he keeps it light, you like it that way###when you wanted so much more","cathy, don't wait too long###come on down in your###common ground, yeah there's no surprise###cathy, don't wait too long",come###anyway###say###like###way###got###boy###keeps###like###way###cares###anyway###oh###lord###remember###days###nights###wanted###cathy###wait###longer###making###time###forever###together###breathe###longer###run###come###anyway###come###blue###eyed###way###comes###goes###come###around###know###lovers###life###ground###yeah###surprise###holding###arms###holding###till###fear###goes###cathy###wait###longer###making###time###forever###together###breathe###longer###run###cares###anyway###oh###lord###remember###days###nights###holding###till###fear###goes,clean###new###light###much,long###common###long
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD1M8LFS6t2K61WSxIxtiERvY-G0x9rZV3AQzCesCQDguuWZUyBbMdrqjJ,Go Get It,6:09,"I wanna see it
I wanna feel it
I wanna see it
I wanna feel it
I wanna see it
I wanna feel it
I wanna see it

Shadow of a girl

I wanna see it
I wanna feel it
I wanna see it
I wanna feel it
I wanna see it
I wanna feel it
I wanna see it

Watch me go away",0.0,0.0,0.0,i wanna see it###i wanna feel it###i wanna see it###i wanna feel it###i wanna see it###i wanna feel it###i wanna see it###shadow of a girl###i wanna see it###i wanna feel it###i wanna see it###i wanna feel it###i wanna see it###i wanna feel it###i wanna see it###watch me go away,,,wanna###see###wanna###feel###wanna###see###wanna###feel###wanna###see###wanna###feel###wanna###see###shadow###girl###wanna###see###wanna###feel###wanna###see###wanna###feel###wanna###see###wanna###feel###wanna###see###watch###go###away,,
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD1M8LFS6t2K61WSxIxtiERvY-G0x9rZV3AQzCesCQDguuWZUyBbMdrqjJ,Falling Ashes,8:00,"Boy, I'm the man
You're the ghost in this town
Could this be it
Your final words, your own
We rolled the bed
Piece by piece, primaplank
Then gathered in light
You were the grace of my night

Thinking about love
Thinking about love
Thinking about love
Thinking about love

And I past
The years tumble down
He's living alone
The only life that you know
California, I thought I saw ya'
Love of my life, grace of my night

Thinking about love
Thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love

Thinking about love
Thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Thinking about love, thinking about love
Love",0.0,0.0,0.4398611111111111,"boy, i'm the man###you're the ghost in this town###could this be it###we rolled the bed###piece by piece, primaplank###you were the grace of my night###he's living alone###the only life that you know###california, i thought i saw ya'","your final words, your own###then gathered in light###thinking about love###thinking about love###thinking about love###thinking about love###love of my life, grace of my night###thinking about love###thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love###thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###thinking about love, thinking about love###love",and i past###the years tumble down,boy###man###ghost###town###could###final###words###rolled###bed###piece###piece###primaplank###gathered###grace###night###thinking###thinking###thinking###thinking###years###tumble###living###alone###life###know###california###thought###saw###ya###life###grace###night###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking###thinking,light###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love###love,past
Slowdive, Inghilterra,Shoegaze;Dream pop,1989 – 1995;2014 – in attività,Slowdive [LP],2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSicwSN7BAITG_ZwLYI3uJKPIEqHx6lXr-d5Thud94PDgXM8xzWQNcevOpR,Slomo,0,"Give me your love, it's a curious love
Give me your heart, it's a curious thing
Our lady of the shipwreck is
Running thru the storm
Her skirts blown back, hands to the fore

My love and I go
It's a curious woe
Like dreamers at dawn
Awake but not yet
You give me your heart
It's a curious thing
Give me your love
It's a curious love

It burns and it slides
It's a curious ride
Give me your heart, yeah
Give me your heart
My love and I go
It's a curious woe

We're younger than clouds, younger than clouds

It burns and it slides
It's a curious ride
Give me your heart, yeah
Give me your heart",0.0,0.0,0.1294117647058823,"our lady of the shipwreck is###running thru the storm###her skirts blown back, hands to the fore###like dreamers at dawn###awake but not yet###you give me your heart###it burns and it slides###give me your heart, yeah###give me your heart###we're younger than clouds, younger than clouds###it burns and it slides###give me your heart, yeah###give me your heart","give me your love, it's a curious love###my love and i go###give me your love###it's a curious love###my love and i go","give me your heart, it's a curious thing###it's a curious woe###it's a curious thing###it's a curious ride###it's a curious woe###it's a curious ride",give###give###heart###thing###lady###shipwreck###running###thru###storm###skirts###blown###back###hands###fore###go###woe###like###dreamers###dawn###awake###yet###give###heart###thing###give###burns###slides###ride###give###heart###yeah###give###heart###go###woe###younger###clouds###younger###clouds###burns###slides###ride###give###heart###yeah###give###heart,love###love###love###love###love###love,curious###curious###curious###curious###curious###curious###curious###curious
